HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2018,Tot_Dsg_Unts_2018,Tot_Clms_2018,Tot_Benes_2018,Avg_Spndng_Per_Dsg_Unt_2018,Avg_Spndng_Per_Clm_2018,Avg_Spndng_Per_Bene_2018,Outlier_Flag_2018,Tot_Spndng_2019,Tot_Dsg_Unts_2019,Tot_Clms_2019,Tot_Benes_2019,Avg_Spndng_Per_Dsg_Unt_2019,Avg_Spndng_Per_Clm_2019,Avg_Spndng_Per_Bene_2019,Outlier_Flag_2019,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Avg_DY22_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_21_22,CAGR_Avg_Spnd_Per_Dsg_Unt_18_22
90675,Rabies vaccine for injection into muscle,Imovax Rabies Vaccine*,"Rabies Vacc, Human Diploid/PF*",3592626.45,13407,12388,4602,267.966469,290.008593,780.6663299,0,3909602.26,14356,13424,4912,272.3322834,291.2397393,795.9287989,0,3457087.5,12608,11787,4153,274.1979299,293.2966404,832.4313749,0,3885925.58,12484,11615,4089,311.2724752,334.5609626,950.3364099,0,4466167.02,14765,13906,4889,302.4833742,321.168346,913.5134015,0,318.963,-0.028236037,0.030754558
90677,Pcv20 vaccine im,Prevnar 20,Pneumoc 20-Val Conj-Dip Crm/PF,,,,,,,,,,,,,,,,,,,,,,,,,314629.93,1217,1213,1209,258.5291126,259.3816406,260.2398098,0,340356341.1,1258415.5,1258424,1252600,270.4641997,270.4623729,271.7198955,0,278.972,0.046165351,0.046165351
90682,"Influenza vaccine, quadrivalent derived from recombinant dna",Flublok Quad 2017-2018*,Flu Vac Qv 2017(18yr Up)rcm/PF*,17105301.21,348031,348015,346743,49.1487862,49.15104582,49.33135265,0,43453538.75,833092,823074,818503,52.15935185,52.79420654,53.0890403,0,44067423.28,754052,754064,745898,58.44082806,58.43989805,59.0796909,0,22034217.93,358628,358626,356294,61.44031679,61.44065943,61.84279817,0,21300829.84,333028,333024,328452,63.96107787,63.96184611,64.85218492,0,66.431,0.041027801,0.068072527
90686,"Influenza vaccine, quadrivalent, preservative free, 0.5 ml dosage",Afluria Quad 2017-2018 (90686)*,Flu Vacc Quad 2017(5 Yr Up)/PF*,39825826.17,2195539.5,2184382,2142911,18.13942594,18.23207945,18.58491844,0,40374345.46,2176713,2176491,2142932,18.54830906,18.55020097,18.84070305,0,36236115.52,1856137,1855995,1820357,19.5223281,19.52382173,19.90604893,0,26785304.37,1286984,1286884,1272306,20.81246105,20.81407832,21.05256469,0,21996384.57,1041109.5,1041018,1022235,21.12783004,21.12968707,21.51793332,0,20.774,0.015152893,0.038861948
90687,"Influenza vaccine, quadrivalent, 0.25 ml dosage",Afluria Quad 2019-2020*,Flu Vacc QS 2019-20 (6 Mos Up)*,7196.53,729,729,727,9.871783265,9.871783265,9.898940853,0,68140.75,2598,2598,2594,26.22815627,26.22815627,26.26860062,1,28895.27,1391,1388,1385,20.77301941,20.81791787,20.86301083,1,12164.48,980,980,977,12.41273469,12.41273469,12.45084954,1,17969.21,1322,1321,1319,13.59244327,13.60273278,13.62335861,1,10.025,0.095040183,0.083241972
90688,"Influenza vaccine, quadrivalent, 0.5 ml dosage",Afluria Quad 2017-2018 (90688)*,Flu Vacc Quad 2017-18(5 Yr Up)*,13938736.74,780658,780592,771186,17.85511292,17.85662259,18.07441621,0,13585893.1,764378,754229,747483,17.77378875,18.01295508,18.17552118,0,10000380.43,478352.5,478453,472947,20.90588098,20.90148966,21.14482263,0,7178617.05,339008,338982,336879,21.17536179,21.17698595,21.30918535,0,5592710.47,255294,255272,252363,21.90694051,21.9088285,22.16137259,0,20.05,0.034548582,0.05245802
90694,"Influenza vaccine, quadrivalent inactivated, 0.5 ml dosage",Fluad Quad 2020-2021*,Flu Vacc QS2020(65up)/Mf59c/PF*,,,,,,,,,,,,,,,,,255031595.7,4385981.5,4385998,4384549,58.14698392,58.14676517,58.16598144,0,269257212.6,4248367,4248353,4239703,63.37899071,63.37919957,63.50850818,0,288658006.3,4269239.5,4269198,4232563,67.61344879,67.61410604,68.19934075,0,67.74,0.066811699,0.078333129
90714,Diphtheria and tetanus vaccine (7 years or older),Tdvax*,"Tetanus, Diphtheria Tox,adult*",1804679.65,76217,76219,76095,23.67817744,23.67755612,23.71613969,0,1835441.96,79417,79417,79270,23.11144919,23.11144919,23.15430756,0,1705678.62,65780.5,65781,65682,25.92985186,25.92965476,25.96873755,0,1592124.46,61078.5,61078,60985,26.06685593,26.06706932,26.10682069,0,1654307.23,59414,59412,59316,27.84372757,27.84466488,27.88973009,0,28.15975,0.068165936,0.041345336
90715,"Diphtheria, tetanus, and acellular pertussis vaccine (7 years or older)",Adacel TDAP*,"Diph,pertuss(Acell),tet Vac/PF*",2090915.13,67913,67904,67781,30.78814262,30.79222329,30.84810094,0,2243535.29,70310,70309,70180,31.90919201,31.90964585,31.96829994,0,1969251.38,59067,59065,58969,33.33928217,33.34041107,33.3946884,0,2045912.92,59201,59198,59128,34.5587561,34.56050745,34.60142268,0,2338103.27,64603,64603,64521,36.19186833,36.19186833,36.23786473,0,36.7085,0.047256106,0.041254469
90732,"Pneumococcal vaccine, 23-valent",Pneumovax 23,Pneumococcal 23-Val P-Sac Vac,186378938.9,1888765,1888462,1874731,98.67767504,98.69350768,99.41636368,0,197941166.9,1890633,1890436,1875532,104.6957114,104.7066216,105.5386775,0,220991915.5,1956242.5,1956075,1944655,112.9675465,112.97722,113.6406795,0,142689613.9,1204786,1204705,1200530,118.4356507,118.4436139,118.8555171,0,92528579.03,743591.5,743538,740932,124.4346917,124.4436452,124.8813373,0,133.472,0.050652324,0.059694406
90739,"Hepatitis b vaccine, adult dosage",Heplisav-B,Hepatitis B Vaccine/CPG1018/PF,91688.24,754,747,589,121.6024403,122.7419545,155.6676401,0,1190216.04,9373,9344,6506,126.9834674,127.3775728,182.9412911,0,1297752.61,9822,9809,6898,132.1271238,132.3022337,188.1346202,0,6630528.69,46788,46486,25134,141.7143005,142.6349587,263.8071413,0,14638878.45,103460.5,103086,46695,141.4924387,142.006465,313.4999133,0,148.143,-0.001565557,0.038598606
90740,"Hepatitis b vaccine, dialysis or immunosuppressed patient dosage",Engerix-B (90740)*,Hepatitis B Virus Vaccine/PF*,15910275.31,124769,123809,52907,127.5178555,128.5066135,300.721555,0,15355698.75,117862,116464,49458,130.2854079,131.8493161,310.4795736,0,14210395.38,103381,102684,44414,137.4565479,138.3895775,319.9530639,0,6393447.88,45446,45015,25134,140.6823016,142.0292765,254.3744681,0,794906.13,5380,5226,3106,147.7520688,152.1060333,255.9259916,0,144.93575,0.050253423,0.037506061
90743,"Hepatitis b vaccine, adolescent dosage",Engerix-B Pediatric-Adolescent (90743)*,Hepatitis B Virus Vaccine/PF*,6944.24,235,234,215,29.54995745,29.67623932,32.2987907,1,8777.96,155,155,138,56.632,56.632,63.6084058,1,4923.02,92,92,83,53.51108696,53.51108696,59.31349398,0,1862.05,43,43,38,43.30348837,43.30348837,49.00131579,1,2358.81,47,47,46,50.18744681,50.18744681,51.27847826,1,71.716,0.158970067,0.141588436
90744,"Hepatitis b vaccine, pediatric or adolescent dosage (3 dose schedule)",Engerix-B Pediatric-Adolescent (90744)*,Hepatitis B Virus Vaccine/PF*,49299.25,1087,800,637,45.35349586,61.6240625,77.39285714,1,54508.12,1291,818,638,42.22162665,66.63584352,85.43592477,1,26146.75,484,469,371,54.02221074,55.75,70.47641509,1,20949.69,390,382,310,53.71715385,54.84212042,67.57964516,1,17937.69,363,356,294,49.41512397,50.38676966,61.01255102,0,28.9715,-0.080086705,0.021673856
90746,"Hepatitis b vaccine, adult dosage (3 dose schedule)",Engerix-B (90746)*,Hepatitis B Virus Vaccine/PF*,5899354.43,96318,95058,62182,61.24872225,62.06057807,94.87238156,0,6418706.56,99473,97283,63324,64.52712354,65.979735,101.362936,0,4642221.78,67026,65465,44811,69.26001522,70.91150661,103.5955855,0,3457628.3,49492,48509,32607,69.86236766,71.2780783,106.0394486,0,3548913.66,51857,51223,34440,68.4365401,69.28359643,103.0462735,0,70.3765,-0.020409093,0.02812934
90747,"Hepatitis b vaccine, dialysis or immunosuppressed patient dosage (4 dose schedule)",Engerix-B (90747)*,Hepatitis B Virus Vaccine/PF*,14836379.72,128198,116286,54716,115.7301964,127.5852615,271.1524914,0,14968720.95,114528,112591,52661,130.699226,132.9477574,284.2468041,0,14192000.08,103619,101913,47647,136.963299,139.2560329,297.8571595,0,10899188.24,78635,75655,36862,138.6047974,144.0643479,295.6754446,0,8631021.97,62887,60393,29335,137.2465211,142.9142777,294.2226681,0,140.753,-0.009799634,0.043550964
90756,"Influenza vaccine, quadrivalent derived from cell cultures",Flucelvax Quad 2017-2018*,Flu Vac QS 17-18 (4yr Up) CELl*,13413682.87,611265,601293,598837,21.94413695,22.30806424,22.39955592,0,13544571.81,527509,527501,523413,25.6764753,25.67686471,25.87740811,0,9840400.25,354269,354230,351032,27.77663372,27.77969187,28.03277265,0,9055138.11,287778.5,287769,286298,31.46565192,31.46669068,31.62836663,1,6648419.01,202582,202552,200524,32.81840939,32.82327012,33.15522835,0,28.92275,0.04299156,0.105858998
90759,"Vaccine for hepatitis b (3 dose schedule) for injection into muscle, 10 mcg dosage",Prehevbrio,"Hepatitis B Virus Vac S,m,l/PF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520.11,49,49,44,71.83897959,71.83897959,80.0025,0,74.05266667,,
A9575,"Injection, gadoterate meglumine, 0.1 ml",Clariscan*,Gadoterate Meglumine*,3692744.47,17763350.6,135796,122078,0.207885582,27.19332285,30.24905773,0,6359222.78,26678407.7,197368,176849,0.238365904,32.22013082,35.95848877,0,5333225.59,29582564.9,206053,182525,0.180282731,25.88278545,29.21915129,0,6103025.84,37660878.6,260990,230542,0.162052137,23.38413671,26.47251191,0,5984473.98,41755234.7,294115,261463,0.143322724,20.34739466,22.88841626,0,0.14475,-0.115576461,-0.0887812
A9576,"Injection, gadoteridol, (prohance multipack), per ml",Prohance Multipack,Gadoteridol,282889.2,175900.3,12053,11130,1.608236029,23.4704389,25.41681941,0,329287.9,230253,16081,14604,1.430113397,20.4768298,22.54778828,0,328184.47,229340.7,16066,14773,1.430990967,20.4272669,22.215154,0,373358.44,259189.4,18140,16586,1.440484989,20.58205292,22.51045701,0,405188.61,284381.5,20143,18389,1.424806501,20.11560393,22.03429278,0,1.4475,-0.010884173,-0.02982177
A9577,"Injection, gadobenate dimeglumine (multihance), per ml",Multihance,Gadobenate Dimeglumine,1917861.26,957299.8,70277,63499,2.003407146,27.29002746,30.20301517,0,1611554.9,837774,62675,56880,1.923615319,25.71288233,28.33254044,0,1188128.54,646817.5,49062,44537,1.836883727,24.21687946,26.6773366,0,1194925.12,659885,49926,45344,1.810808126,23.93392461,26.35244178,0,1053635.33,582440.8,42383,38462,1.808999868,24.85985725,27.39418985,0,1.87025,-0.000998592,-0.02519594
A9578,"Injection, gadobenate dimeglumine (multihance multipack), per ml",Multihance Multipack,Gadobenate Dimeglumine,178460.12,84886,6809,6087,2.102350447,26.20944632,29.31823887,0,143057.66,73634,5283,4763,1.942820708,27.07886807,30.0352005,0,95648.45,53095,3772,3371,1.801458706,25.3574894,28.37390982,0,107242.26,59462,4315,3815,1.803542767,24.85336269,28.11068414,0,98681.96,55834,4389,3948,1.767416986,22.483928,24.9954306,0,1.7885,-0.020030454,-0.042456576
A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",Magnevist*,Gadopentetate Dimeglumine*,3252542.8,1777235.4,116854,106180,1.83011367,27.83424444,30.63234884,0,1903575.8,1199270,79104,72212,1.587278761,24.06421673,26.36093447,0,1438663.01,952217.1,60891,53869,1.510856096,23.62685799,26.70669606,0,1464069.64,952748,60941,54418,1.536680885,24.02437833,26.90414275,0,1313795.36,852292.9,54382,49029,1.541483403,24.15864367,26.79629118,0,1.57375,0.003125254,-0.042000688
A9581,"Injection, gadoxetate disodium, 1 ml",Eovist,Gadoxetate Disodium,985021.68,70356.3,7187,5667,14.00047586,137.0560289,173.8171308,0,1104986.9,78359,8004,6347,14.10159522,138.0543353,174.0959351,0,998703.44,70512.6,7254,5722,14.1634749,137.6762393,174.5374764,0,1117690.95,78478.8,8032,6385,14.24194751,139.1547498,175.0494832,0,1152164.77,81051.4,8327,6618,14.21523589,138.3649298,174.0956135,0,14.74675,-0.001875559,0.003813006
A9585,"Injection, gadobutrol, 0.1 ml",Gadavist,Gadobutrol,6294985.63,16849495.8,218776,191574,0.373600831,28.77365721,32.85929004,0,6871291.69,18978208.2,244919,214203,0.362062194,28.05536398,32.07841015,0,6000723.96,16636862.5,213365,185604,0.360688439,28.12421887,32.33079007,0,6792125.14,18823993.6,236245,203483,0.36082275,28.75034452,33.37932476,0,6535732.65,19708801.3,247507,213514,0.331614924,26.40625376,30.61032368,0,0.33575,-0.08094785,-0.029363634
A9589,"Instillation, hexaminolevulinate hydrochloride, 100 mg",Cysview,Hexaminolevulinate HCL,,,,,,,,,160656.95,144,144,103,1115.673264,1115.673264,1559.776214,0,235935.1,202,202,138,1167.995545,1167.995545,1709.674638,0,390550.39,326,326,254,1198.007331,1198.007331,1537.599961,0,814140.58,677,677,485,1202.571019,1202.571019,1678.640371,0,1218.41975,0.003809399,0.025316397
J0121,"Injection, omadacycline, 1 mg",Nuzyra,Omadacycline Tosylate,,,,,,,,,,,,,,,,,1069624.38,330665,2619,192,3.234767454,408.4094616,5570.960313,0,1621500.85,493980,4198,262,3.28252328,386.2555622,6188.934542,0,1692372.93,499363,3779,309,3.389063527,447.8361815,5476.935049,0,3.3955,0.032456814,0.023571824
J0122,"Injection, eravacycline, 1 mg",Xerava,Eravacycline Di-Hydrochloride,,,,,,,,,,,,,,,,,117915.49,117378,526,56,1.004579138,224.1739354,2105.63375,0,83663.28,82406,477,41,1.015257142,175.394717,2040.567805,0,176422.6,147596,851,61,1.195307461,207.3121034,2892.173771,0,1.03825,0.177344549,0.090806552
J0129,"Injection, abatacept, 10 mg",Orencia*,Abatacept*,799286086.6,16664951,219711,26726,47.96210241,3637.89745,29906.68587,0,920274114.8,18334361,241954,29031,50.1939563,3803.508579,31699.70427,0,1023001524,19061371,251054,29764,53.66883232,4074.826627,34370.43153,0,988943741.6,20110414.6,265060,31429,49.17570131,3731.018417,31465.9627,0,903326016.6,20878083.6,276427,31922,43.26671135,3267.864632,28297.91418,0,43.972,-0.120160767,-0.025428025
J0132,"Injection, acetylcysteine, 100 mg",Acetadote*,Acetylcysteine*,5871.57,5026.5,1057,176,1.168122948,5.554938505,33.36119318,0,2283.48,1836,911,193,1.24372549,2.506564215,11.83150259,0,331.04,322,264,62,1.028074534,1.253939394,5.339354839,0,121.41,133,104,36,0.912857143,1.167403846,3.3725,0,280.88,376,201,52,0.747021277,1.397412935,5.401538462,0,0.7415,-0.181666833,-0.105745563
J0133,"Injection, acyclovir, 5 mg",Acyclovir Sodium,Acyclovir Sodium,51126.96,966227,823,233,0.052914025,62.12267315,219.4290129,0,28800.09,662701,447,175,0.043458649,64.42973154,164.5719429,0,46564.18,747490,554,201,0.062294051,84.05086643,231.6625871,0,29577.72,767645,615,202,0.038530467,48.09385366,146.4243564,0,29190.62,759898,509,158,0.038413866,57.34895874,184.7507595,0,0.03825,-0.003026189,-0.076941334
J0153,"Injection, adenosine, 1 mg",Adenocard*,Adenosine*,1521606.43,2025115.8,39860,39468,0.751367616,38.17376894,38.55291451,0,1392453.14,1934189.7,38015,37667,0.719915497,36.62904485,36.96745533,0,1002854.84,1634410.3,32957,32611,0.613588179,30.42919076,30.75204195,0,959172.04,1656064.4,33660,33410,0.579187645,28.49590137,28.7091302,0,702368.46,1482584.4,31458,31297,0.473746021,22.327181,22.4420379,0,0.471,-0.182050887,-0.1089065
J0171,"Injection, adrenalin, epinephrine, 0.1 mg",Adrenalin*,Epinephrine*,12460.63,12769.5,6122,3632,0.975811896,2.035385495,3.430790198,0,13022.37,10520.5,4676,3197,1.23780904,2.784937981,4.073309353,0,13808.5,7439.5,2744,2245,1.856105921,5.032252187,6.15077951,1,9132.66,6821.1,2643,2283,1.338883758,3.455414302,4.000289093,0,11648.4,6940.8,2621,2197,1.678250346,4.444257917,5.301957214,0,0.73925,0.253469792,0.145177112
J0172,"Injection, aducanumab-avwa, 2 mg",Aduhelm,Aducanumab-Avwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603241.13,93920,476,185,6.422925149,1267.313298,3260.762865,0,7.367,,
J0178,"Injection, aflibercept, 1 mg",Eylea,Aflibercept,2573938387,2730000.6,1228011,240910,942.8343667,2096.022256,10684.23223,0,2911408262,3123465,1391256,268296,932.1084956,2092.647408,10851.47845,0,3013081886,3269214,1435329,284454,921.6533045,2099.227345,10592.51016,0,3415890772,3758278,1635603,309699,908.8978442,2088.459591,11029.71199,0,3541909704,3933700.1,1698624,338615,900.4015593,2085.164053,10459.99056,0,911.45825,-0.009347899,-0.011446431
J0179,"Injection, brolucizumab-dbll, 1 mg",Beovu,Brolucizumab-Dbll,,,,,,,,,,,,,,,,,110733938.3,355193,54382,17584,311.7570963,2036.224087,6297.425973,0,66538895.91,214275,32474,7377,310.5303741,2048.989835,9019.777133,0,42274859.23,137268.2,20656,5540,307.9727077,2046.614022,7630.841016,0,312.4895,-0.008236445,-0.006087982
J0180,"Injection, agalsidase beta, 1 mg",Fabrazyme,Agalsidase Beta,57830844.15,383047,4103,287,150.9758441,14094.77069,201501.1991,0,55316249.65,353198,3795,270,156.6154102,14576.08686,204874.9987,0,50489088.57,309496,3351,246,163.1332507,15066.87215,205240.1974,0,52527144.63,310621,3403,225,169.1036492,15435.54059,233453.9761,0,62283822.19,315008,3525,216,197.7213982,17669.16942,288351.0287,0,202.81625,0.169232001,0.069760485
J0185,"Injection, aprepitant, 1 mg",Cinvanti,Aprepitant,,,,,,,,,58859217.05,27360438,200193,49465,2.151252734,294.0123633,1189.916447,0,39322584.78,20343180,146453,36511,1.932961552,268.4996878,1077.006513,0,27803163.32,18706743,134916,32679,1.486264248,206.077584,850.7960256,0,35607662.21,21173369,154319,35760,1.681719249,230.7406231,995.7399947,0,1.7135,0.131507571,-0.078799808
J0202,"Injection, alemtuzumab, 1 mg",Lemtrada,Alemtuzumab,36353455.03,23777,1618,523,1528.933635,22468.14279,69509.47425,0,20594540.18,12654,1199,329,1627.512263,17176.43051,62597.38657,0,12586313.44,7565,603,148,1663.755908,20872.82494,85042.65838,0,5626185.55,3711,285,89,1516.083414,19741.00193,63215.56798,1,4021632.43,2288,237,53,1757.706482,16968.91321,75879.85717,1,2169.949,0.159373202,0.035474552
J0219,"Injection, avalglucosidase alfa-ngpt, 4 mg",Nexviazyme,Avalglucosidase Alfa-Ngpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33477989.57,467247.5,977,86,71.6493712,34266.1101,389278.9485,0,72.6245,,
J0221,"Injection, alglucosidase alfa, (lumizyme), 10 mg",Lumizyme,Alglucosidase Alfa,63025687.79,458078,2192,126,137.5872401,28752.5948,500203.8714,0,67214794.85,470214,2250,132,142.9451162,29873.24216,509202.9913,0,62106434.59,421051,2075,124,147.5033537,29930.81185,500858.3435,0,61675529.63,409816,2067,116,150.4956606,29838.1856,531685.6003,0,41371331.41,231183,1210,86,178.9549033,34191.18298,481061.9931,0,184.42775,0.189103411,0.067926494
J0222,"Injection, patisiran, 0.1 mg",Onpattro,"Patisiran Sodium,lipid Complex",,,,,,,,,,,,,,,,,60532021.65,621134,2340,215,97.45404639,25868.38532,281544.2867,0,82896518.89,851191,3170,279,97.38885737,26150.32142,297120.1394,0,98102746.27,1007673,3785,338,97.35573571,25918.82332,290244.8115,0,98.8435,-0.000340097,-0.000504522
J0223,"Injection, givosiran, 0.5 mg",Givlaari,Givosiran Sodium,,,,,,,,,,,,,,,,,3953268.84,36943,105,19,107.009957,37650.17943,208066.7811,0,10731531.69,100822,287,35,106.440377,37392.09648,306615.1911,0,14866283.6,139933,375,40,106.2385828,39643.42293,371657.09,0,107.791,-0.001895843,-0.003610736
J0248,"Injection, remdesivir, 1 mg",Veklury,Remdesivir,,,,,,,,,,,,,,,,,,,,,,,,,121748.92,22088,128,111,5.511993843,951.1634375,1096.837117,0,28042109.72,5155131,26319,14563,5.439650267,1065.470182,1925.572322,0,5.512,-0.013124756,-0.013124756
J0256,"Injection, alpha 1 proteinase inhibitor (human), not otherwise specified, 10 mg",Aralast NP*,Alpha-1-Proteinase Inhibitor*,96005577.8,24055174.5,30678,1319,3.991057217,3129.460128,72786.63973,0,104283076.3,25593552.7,33994,1382,4.07458384,3067.690659,75458.08701,0,102288299.2,25897881.6,34833,1380,3.949678231,2936.534298,74121.95594,0,111472532.1,27384416.8,37430,1399,4.070655693,2978.160089,79680.15164,0,121897493.1,27407085.7,38467,1424,4.447663441,3168.884839,85602.17211,0,4.566,0.092615976,0.027450696
