Comment,Technology Related ,Public Safety Related,Gold Standard
Better response time and follow-up portal for code violations reported.,1,0,Technology
More privacy among the public.,0,0,Neither
User-friendly apps.,1,0,Technology
An app to locate services and directions across the county.,1,0,Technology
Not everyone can afford the internet. Provide free internet to all elderly residents and provide resources to teach them.,1,0,Technology
Affordable housing.,0,0,Neither
Wi-Fi.,1,0,Technology
Free internet access.,1,0,Technology
"Being protected against online threats, stolen information, and data collection while using the internet.",1,1,Both
Affordable internet for families.,1,0,Technology
Improve internet towers.,1,0,Technology
Use the latest technology available to make public services more accessible.,1,0,Technology
More clarity and faster response.,0,0,Neither
I would like technology to be used to protect the safety of our community.,1,1,Both
"To cut time in lines, allow more business to be done online rather than in person, educate the public and increase participation, match volunteers with needs, provide dashboards to track stats and solve problems like public health, water levels and insecurity, food insecurity and access points, animal control, public transportation, school rankings, and needs.",1,1,Both
I would like technology to be easily accessible to all people in order for them to find any information they need.,1,0,Technology
Easier apps to navigate.,1,0,Technology
Convenient and easy-to-use applications that have no errors. Apps that are accessible for elderly and people with disabilities will greatly improve the health of the city’s people in the future.,1,1,Both
Having access to public services in public parks.,0,0,Neither
More advertisement for programs to help the community.,1,1,Both
"Help the homeless, share my opinion of NISD, allow voices to be heard, allow freedom of speech, allow freedom of religion.",0,1,Public Safety
Track crime.,0,1,Public Safety
I don’t know.,0,0,Neither
Put more information.,0,0,Neither
More free software training for families.,1,0,Technology
Much better traffic signal management needed. Most intersections are holding up traffic flow in both directions much longer than needed.,1,1,Both
Like things that would improve city services.,0,0,Neither
Online chats on city websites; better website design.,1,0,Technology
Create a site that lists all public/emergency services by zip code.,1,1,Both
Easier scheduling for transportation and services.,1,0,Technology
Make it friendly. Some of us are technologically challenged.,1,0,Technology
User friendly.,0,0,Neither
Being able to access expanding senior services.,0,0,Neither
Continue to make information available online.,1,0,Technology
Low-cost internet services.,1,0,Technology
Make it easier for citizens to have input.,0,0,Neither
More education.,0,0,Neither
Centralized databases for information.,1,0,Technology
Easier to use with better access to internet connection.,1,0,Technology
Provide emergency information to all citizens. The last snowstorm left us all in the dark.,0,1,Public Safety
Access to what is going on in the city and neighborhood.,0,0,Neither
Better safeguards.,0,0,Neither
Accessible 24/7 - easy to find public facilities such as libraries or others.,0,0,Neither
Make it easier to access; I can never remember passwords!,1,0,Technology
Create smarter systems for traffic management. Make ALL services available for complete transactions easily online.,1,1,Both
Law enforcement to enforce laws already on the books.,0,1,Public Safety
Cameras for the police in the city to use to catch drug trafficking and human trafficking.,1,1,Both
Make it easy to access and use.,0,0,Neither
"I would like technology to improve response times for police, fire department, or other emergency services and make them faster.",1,1,Both
"Help educate those who do not know how to use phones, emails, or computers, as well as helping them sign up for new opportunities.",1,0,Technology
"Better communication about available resources that can help residents. More opportunities for people to access these resources online through forms, chats, virtual assistance, etc.",1,0,Technology
Health and schools.,0,1,Public Safety
More alerts on public services.,1,0,Technology
"The use of mobile apps would make it easier for most people to access public services. For example, the 311 app could have interactive portions, so that if my recycle bin needs to be replaced, I can do it through the 311 app.",1,0,Technology
"Provide ways to conveniently connect with City departments, any day of the week, any time of the day.",1,0,Technology
Timed traffic signals.,1,1,Both
To be used in a way that advances sustainable practices and conservation.,0,1,Public Safety
Replace existing above-ground utility lines with in-ground facilities.,0,0,Neither
Internet service available to everyone in the city at low cost.,1,0,Technology
Green spaces and solar for city garages/lots; green spaces and solar sidewalks and trails; bike/walk/public transit/trolley only in innermost downtown (tech comes in because we have to inform everyone how to get around otherwise).,1,0,Technology
More public Wi-Fi with added security features and technology that encourages environmental awareness.,1,0,Technology
Teach people about the new technologies and what's coming.,1,0,Technology
Investing in innovative technology to bring quality jobs and better work-life balance to all.,1,0,Technology
Citizen forums. Citizen Training for public website.,1,0,Technology
"Having the opportunity to work remotely for all positions whose main job is over the computer. No point in coming into the office wasting resources and producing carbon emissions, which contradicts the climate change initiative (Epi department).",1,1,Both
Make it easily accessible.,1,0,Technology
Create commuter rail services.,1,0,Technology
Improving our access to convenient transportation. Preparing our city to become more resilient to the environmental effects of global warming. Improving public health services in general.,0,1,Public Safety
User-friendly city website.,1,0,Technology
I'd like technology to be used to provide improved access to services and better management of resources to ensure sustainability and scalability of our city.,1,0,Technology
"More QR codes. Uploading city documents (i.e., tax exemption) online.",1,0,Technology
"We can order passports online, birth certificates, and social security cards online by being able to upload required documentation.",1,0,Technology
"Increased access to government services. i.e., DMV offices, tax collection offices, and lower wait times.",1,0,Technology
Accessibility.,0,0,Neither
Communication with our city and access to permits and other renewals we need to do.,1,0,Technology
Faster response time.,0,0,Neither
Help lower the cost of electricity.,1,0,Technology
Phone app for money back for recycling.,1,0,Technology
"I would like technology to be used to improve or create sidewalks in older neighborhoods that are in close proximity to historic sites (Ex: Hot Wells Hotel ruin). I would also like to see my city improve in our sustainability practices, such as the rejection of grass lawns and the normalization of alternative lawns.",1,0,Technology
Free broadband internet.,1,0,Technology
I'm not really sure.,0,0,Neither
More people to talk to. More knowledge.,0,0,Neither
Smarter red lights. Sensory.,1,0,Technology
More accessible to transportation and food help.,0,1,Public Safety
Easy access and affordable.,0,0,Neither
Available to low-income and older folks to help with the change in culture.,0,0,Neither
Use the internet to inform more about communities.,1,0,Technology
"I would like better transportation options, especially to colleges and busier parts of town.",0,0,Neither
I think for it to be more user-friendly.,1,0,Technology
Rail car.,1,0,Technology
"To provide a better connection to the public’s voices and government. And to provide higher quality facts and information (in a clear manner, free of jargon) for said public to make better decisions.",1,0,Technology
I'm not sure.,0,0,Neither
"I would like technology to be used to improve DMV, legal, and court services.",1,0,Technology
"Better access to technology, including internet, to all households or create an environment of awareness, progress, and connections.",1,0,Technology
More and better public transportation. Ecofriendly and affordable.,0,1,Public Safety
More transparency in services that are offered and how to use them. Better response times for all services. Better data on services being utilized.,1,0,Technology
More convenient forms of transportation and greater access to healthcare.,0,1,Public Safety
Seamless experience and ease of access.,0,0,Neither
Remote government services.,1,0,Technology
Continue using data to engage and gather citizen feedback.,1,0,Technology
Apps that have real-time data and can have forms on them to fill out.,1,0,Technology
Promoting the 311 app so more people know about it. Having a centralized point of communication is important. Having a space for innovative suggestions online or digital teams to tackle issues at a rapid rate.,1,0,Technology
Find ways to help San Antonio citizens respond to changes in climate.,0,1,Public Safety
"A digital resource of the resources available to San Antonians—organic matter trash cans, any composting services, mulch or ground cover materials, a list of local San Antonio businesses we can support. Maps that show where we can access green spaces. Increased access to public transportation options (meaning actual alternatives to drive, since adding an hour onto a commute isn't feasible) and accurate public transportation information to plan commutes when using public transportation.",1,0,Technology
Incorporation of technology into healthcare.,1,1,Both
Offer more specific information on city tech investments so residents can offer informed feedback and/or volunteer.,1,0,Technology
Equally across the board.,0,0,Neither
I'd love for the city to map heat islands and food deserts. I'd love for the city to get in contact with Cul-de-sac and ask them how they helped phoenix battle climate change and a housing crisis. I'd like a lot of things but with the people in charge it's doubtful to happen.,1,0,Technology
Provide in more underserved neighborhoods and communities,0,0,Neither
Marketing what the city has available.,0,0,Neither
"Digital bus route, digital map board on sidewalks downtown ",1,0,Technology
Free internet,1,0,Technology
Pedestrian lights at crosswalks,1,1,Both
"We could have an easy to use dashboard to get quick access to most public services like testing for covid locations, vaccinations and other city services. Most importantly creating a light rail system for San Antonio.",1,1,Both
Smart traffic signals and other things that improve efficiency,1,0,Technology
needs to be more user friendly - many times I cannot find what I'm looking for on SA govt sites,1,0,Technology
Ease of access to public services.,0,0,Neither
Creating more walkways and making the pedestrian way of commuting safer.,0,1,Public Safety
Implement the use of cameras for high crime areas and school zones,1,1,Both
"Stop using automated systems that both waste the consumers time and are ineffective! Stop companies and corporations from outsourcing positions oversea, employees are not well versed to handle client needs and are taking jobs away from citizens that need them here! Find and implement ways to stop robocalls and scams across the board for all consumers at no additional cost! And many other possibilities that technology could and in time will!",1,0,Technology
"Intelligent traffic management, and intelligent and efficient dispatch of emergency services. ",1,1,Both
"improved service times for transit, better information access",1,0,Technology
Improve the ever growing transportation issue in San Antonio,0,0,Neither
Commuter Trains.,1,0,Technology
"Use data to improve public transportation frequency and speed. Better integrate the traffic management systems to improve flow. Improve the process of using and paying for public transportation services or public parking downtown. Also, do trains count as technology? Build more trains!",1,0,Technology
More accurate time windows for appointments,0,0,Neither
Technology that allows for the use of street swiping neighborhood streets.,1,0,Technology
"User friendly access to public data. Currently most city data is badly siloed, much of which is impossible to retrieve online and if you don't know the data exists, would be unlikely to be discovered.",1,0,Technology
Better websites and more automation of services to reduce wait times.,1,0,Technology
More classes to explain technology and how it works.,1,0,Technology
Yes,0,0,Neither
Quick and easy use.,0,0,Neither
To better the lives of all and not just those who can afford,0,1,Public Safety
Well designed public transportation and walkable multi-use development.,0,0,Neither
Services should be easy to access. Permitting shouldn't be so difficult. Processes should be transparent.,1,,Technology
For those of us who can't afford internet public information announcements thru TV and radio when events and services are available.,1,0,Technology
Improve public transportation,0,0,Neither
"Tech is not the solution to improving public services. Properly funding transit, utilities, and changing to sustainable building is the solution. ",1,0,Technology
"report issues, get updates",0,0,Neither
"I believe that SA has many opportunities for greener initiatives. Technology innovation to assist with that, through informing and building reliable public transportation options would be great.",1,0,Technology
Having access to our local leaders to discuss local issues should already be happening.,1,0,Technology
"Public safety notifications, enable 911 service requests through text. SA Parent app to inform residents of child friendly free or low cost events, access to summer nutrition programs, subsidized day care or early childcare education options, maybe include animated video on history of SA.",1,1,Both
Smart public transit and walkability,1,0,Technology
To make it easier to report or find what you need,0,0,Neither
"Dashboards that are easily accessible to understand state of various public resources. Water/air quality monitoring, i.e. sampling of water during pandemic to understand scale of spread. Dashboard of free wifi color coded by speed/strength. ",1,1,Both
"I would like to see technology be used to improve movement of people, material (rail, aviation, etc) and improve public safety while respecting privacy and human rights.",1,1,Both
Enable 2 way communication,1,0,Technology
"I would like to see technology change the shape of transportation, as well as ability to sustain our water and electricity. ",1,0,Technology
"hire trained web mgr information/technology specialists to gather, write and organize data in an easy to use and transparent way - and PLEASE get user feedback once you think you have a plan ",1,0,Technology
VIA App needs to be totally redone. Include live updates.,1,0,Technology
For social equity and education,0,1,Public Safety
Use to build more smart businesses and increase diversity of businesses in downtown.,1,0,Technology
Better tools for police and other first responders.,0,1,Public Safety
Make it more efficient and easy to use for users,1,0,Technology
"We need subway/rail system in San Antonio, instead if buses. We can then use technology to plan trip and make public transportation more appealing.",1,0,Technology
"For streets that are altered to one lane during construction, please lengthen the time a light is green to allow more people to pass. at this point, on Cesar Chavez at 7:30 am it takes 15-20 to cross the intersection to get on I-10. ",0,0,Neither
"Easier to obtain any appointments needed. SAHA does not respond to their emails in a timely manner; create a queue that they have a certain period of time to respond and take care of something that needs to get done. My mother has been waiting over a month to get an inspection so she can move into her apartment and the email sat in an organizational mailbox for over a month and nobody had read/received it. Covid isn't as much of a factor now, people need to stop using that as an excuse for poor service.",1,0,Technology
"Making WiFi available city-wide, especially to assist in online education.",1,0,Technology
"I'd like technology to improve the availability of services and accuracy of information and ability for people to get the information they need. Most of all, I'd like technology to improve the safety of our city.",1,1,Both
"Become friendlier for pedestrians and improve public transport, reduce environmental impact, live better together",0,0,Neither
Monitoring crime.,1,1,Both
"Develop infrastructure(Power, technology, internet etc) that does not stop/ go down on high load - increase load capacity. Utilize technology to improve security and reduce crime rate.",1,1,Both
Actual people that can quickly respond to questions,0,0,Neither
More virtual town halls to receive citizens' input.,1,0,Technology
Easier access to the services and personal assistance to guide people to and through the necessary system(s).,0,0,Neither
Support organizations like Geekdom.,0,0,Neither
"Faster response times for emergency services, better tools for identifying and solving crimes and prosecuting criminals, emergency alert and guidance systems",1,1,Both
Rail system so people use less cars. Less dependency on gas and coal,0,0,Neither
LIGHT RAIL,0,0,Neither
More robust apps to engage the local government with the people,1,0,Technology
If someone calls to report a pothole or a water main break the appropriate crew would be sent to address the problem.,0,0,Neither
QR codes placed on city property to help connect residents to important info.,1,0,Technology
More public accessibility for disabled individuals.,0,0,Neither
Reliable bus and rail schedules synced to phones or texts. See NYC bus system for examples.,1,0,Technology
Continued progress on ease of access to healthcare and making it more affordable.,0,0,Neither
"Prioritizing affordable healthcare, and clean public transportation ",0,0,Neither
"The via app trip planner is HORRIBLE. 311 app is HORRIBLE, not even functional at all. These are basic, vital resources the city is neglecting. ",1,0,Technology
Using technology to help curb illegal immigration or using it to build a wall,1,0,Technology
Better online integration as it applies to accessing public transportation schedules/getting on public transit,1,0,Technology
"Roof-top solar, light rail service",0,0,Neither
Invest is proper mass transit. Do NOT invest in garbage like Tesla Hyperloop and electric buses.,1,0,Technology
Use demographic data to better take care of those without means to take care of themselves.,0,0,Neither
Clear and accesible voting information,0,0,Neither
Railway systems with automated schedule update notices for any delays.,1,0,Technology
Replace buses with electric rails.,0,0,Neither
Technology should allow all city services to be accessed on your phone.,1,1,Both
Enhance public transportation and incorporate light rail.,0,0,Neither
Use it to target the communities that need it most,0,0,Neither
Make city/community resources available in an easy to digest format. 211 sucks,0,0,Neither
Giving citizens more voice.,0,0,Neither
"Solar energy, fiber internet, light rail ",1,0,Technology
"Timed traffic lights, online access to more city services,",0,0,Neither
Analysis of environmental impact,0,0,Neither
Integrate into a better public transit system,0,0,Neither
Rail way public transit system.,0,0,Neither
A rail-based public transit that spans the entire city and not just one area.,0,0,Neither
"The city, county & state work off DOS systems. These need to be updated to allow for city/county/state employees to be more efficient in allocating resources.",1,0,Technology
"Support public transport, communicate important information to city inhabitants",0,0,Neither
Streamlined (similar) experiences across all services.,0,0,Neither
Reduce costs,0,0,Neither
"Expanding Internet access to all, providing reliable and safer transportation options that are better for our air quality, and providing a more reliable power grid that reduces cost to the consumer.",1,0,Technology
Speaking to someone live vs the maze of automated Q&A responses.,1,0,Technology
"Better city website and communication, especially communication with representatives (messaging councilperson is currently text-only), better use of data to optimize traffic and public transit routes and identify ideal areas for higher density zoning, ",1,0,Technology
better connection with public transit (bus/train schedule),0,0,Neither
everything online... let me track garbage trucks (like VIA buses)... send me text message alerting me to potential power outages... etc..,1,0,Technology
"Local leaders can use Google to see how expanding highways doesn't actually solve traffic problems, and then realize that we need a rail system and protected bike lines.",0,0,Neither
I would like it to encourage culture and community.,0,0,Neither
"Real-time update about crime, traffic, events.",1,1,Both
"Public transportation such as trains, light rails, subway",0,0,Neither
Local government websites need to be easier for the elderly to use,0,0,Neither
Better syncing traffic lights to lessen idling vehicles. Create a police drone to check on certain areas to combat crime and better response times.. Use technology to help track and catch habitual car thiefs by faster response times.,1,0,Technology
"Trains- rail transportation, solar ",0,0,Neither
Access to public and affordable transportation options.,0,0,Neither
"Give Via busses priority at lights, provide wifi on busses AND at bus stops, improve looking up bus schedules and real-time bus ETAs on the phone, and account for temporarily missing bus stops on schedules and ETAs.",1,0,Technology
Increasing public transport such as light rails to encourage people to move around the city. Decreasing dependency on cars will increase walkability as well as decrease obesity,0,0,Neither
"Improve efficiency of public transit, including adding options such as light rail.",0,0,Neither
"Electrify trains, light rail. This technology is not old or expensive. ",1,0,Technology
please more busses so i dont have to wait 30 min,0,0,Neither
N/a,0,0,Neither
Build trains and streetcars,0,0,Neither
More efficient traffic and improved first responder response times,1,1,Both
Increase and improve public transportation,0,0,Neither
Better transportation infrastructure. Public city calendar feeds you can subscribe to.,1,0,Technology
"Needs to be user friendly. Needs to be well advertised. Needs to be available. As a senior citizen I am finding the greatest obstacle to my independence is health care. It's difficult to get to Dr offices. Not just in terms of travel, but also in terms of easy access to the offices. Also, time in Dr waiting rooms is excessive. I often spend 1-2 hours in waiting room for a 5-10 minute Dr visit. How can technology help with this? I don't know, but I'm sure it can.""",1,1,Both
"We need rail in this city to some extent, even if just downtown. We keep building and expanding roads which is known not to solve traffic issues. We keep increasing via bus services, but our city is so massive it leads to inefficiencies.",0,0,Neither
Make great public transportation,0,0,Neither
"Jury selection process should be entirely via remote services, so a 12 member jury with alternates will only come to the courthouse in person once selected; kiosks at local grocers and stores to make bill pay etc. be more accessible; broader means of voting for those who want to fulfill civic duties without sacrificing time at work/school to take leave and do so",1,0,Technology
Better accessible information and process available.,1,0,Technology
Greater access and efficiency,1,0,Technology
Make it accessible like San Diego,0,0,Neither
"Technology should enable public services to be easily accessible and easy to understand. There is no reason a municipal website should look 5 years behind Kohl's website, it's sad",1,0,Technology
We desperately need something like a high speed rail system to increase our public transportation offerings and decrease traffic and fuel reliance. More commuters may be willing to use public transportation if it were more timely and reliable.,0,0,Neither
Universal app for all city services and local utilities,1,0,Technology
I want car free zones all over San Antonio and smart traffic lights.,1,0,Technology
To improve accessibility to various services and programs,0,0,Neither
"I'm thinking an app that has QR codes around the city, that, depending on where you are, you can scan the code, and get some sort of transportation map and select where you want to go, and then the results show you how to get there",1,0,Technology
Internet service for everyone,1,0,Technology
"Public transportation will be a necessity the more San Antonio grows, and technology can make that easier and more accessible ",1,0,Technology
More accurate waiting times for public transportation.,1,0,Technology
Improved public transport,0,0,Neither
Internet needs to classified as a utility so that all citizens have access to it in their home.,1,0,Technology
Better communication,0,0,Neither
More data,1,0,Technology
"Technology was useful during Covid to get updates and vital info from the city government. We still need Covid and public health updates. I appreciate these surveys to give our input. I'd like technology in the form of red light cameras to monitor and fine dangerous speeders using Vance Jackson, Huebner, Lockhill Selma, De Zavala, etc as personal racetracks. Cars go 60+ mph through our neighborhoods. That's my #1 concern. I've been hit a speeder and also many close calls with crazy drivers speeding through our neighborhoods and school zones. Road rage and speeding, aggressive drivers ",1,1,Both
Identifying areas of concerns for citizens and optimizing procedures for improving the quality of life.,1,1,Both
Public transportation,0,0,Neither
In whatever way it can be.,0,0,Neither
Making processes more clear and more efficient. Create more public spaces/parks like the Pearl.,1,0,Technology
"Increased communication about what sorts of programs are available, more outreach",0,0,Neither
Rail system,0,0,Neither
Rail for public transit that is safe and convenient. Connect to Austin in the future for growth.,0,0,Neither
"There should be an easy to use app for 311. Also, I should be able to use an app like ""waste wizard"" to find specific info for my houses trash services. I'd like to be able to search what goes in what bin and schedule additional services through it. Public transit does not need such a thing because it should be so frequent I don't need to check an app!",1,0,Technology
Better response time to the citizens request for change.,0,0,Neither
Trains,0,0,Neither
Optimization of public transit to serve a broader community more effectively and reliably.,0,0,Neither
Online outreach programs to help the homeless and mentally ill through libraries,0,0,Neither
City wide train system like the dart train in Dallas,0,0,Neither
Easier on line access to research info.,0,0,Neither
Using technology while upgrading infrastructure,1,0,Technology
Apps with clean interface to find resources near me,1,0,Technology
Create awareness of new knowledge and technology so we can educate the people and help bridge the digital divide,1,0,Technology
Make internet free to all,1,0,Technology
Make rail available,0,0,Neither
Residential technology to protect residents and crime. Access road systems to preauthorized public trespassing.,1,1,Both
For benchmark measurements - and to make the raw data public.,1,0,Technology
Smart street lights. Crime reporting stations like on college campuses on walking streets.,1,1,Both
"""Technology"" is not the solution. Adequate funding and the will to implement proven solutions (light rail, public housing, etc) would go much further than new technology.",1,0,Technology
"Make data informed decisions - identify and remediate crime hotspots/trends, traffic bottlenecks, adaptive pricing to encourage better electric and water usage, etc. Surveillance data to aid public safety and prosecution of crimes (cameras, license plate scanners, etc.).",1,1,Both
Ese of accessing public service and information. Simple and easy online service to pay my taxes,0,0,Neither
More transparency in all areas,0,0,Neither
"In a more efficient manner, cut back on the extras",0,0,Neither
"Currently, the CoSA online payment system for bills (ie: monthly parking) requires using Internet Explorer that doesn't even exist anymore. This is a super basic pain point for everyday life and an easy fix. Super disrupting monthly just trying to pay a bill. They require paper checks or a phone back and forth to pay a small bill. The hours this takes is costly. There are many larger issues like hyperconnectivity to improve healthcare, transportation, basic services (ie: water, safety, etc.) that could make a huge personal and economic impact on citizens, businessnesses, and visitors.",1,1,Both
"Help me secure rental housing, housing assistance and help with improving my credit. Easier access to for sale homes before investors buy them.",0,0,Neither
"Safety, security, and stability.",0,1,Public Safety
"Make city services more efficient. Whether that is access to city owned facilities, digitize forms/paperwork or increase phone service attendants. Think LEAN!",1,0,Technology
Increased public transportation such as rail in order to connect areas outside of the downtown area.,0,0,Neither
Better public transportations,0,0,Neither
"I would like technology to better inform local decisions, specifically, how to make our city more resilient and environmentally friendly. ",1,0,Technology
Allow me to get a text message on my trash day or if the day has changed that week. Allow me to find free parking downtown (if available) or spots that are convenient with access. Provide more ways to pay for parking downtown that are seamless and convenient. Show me a list of all the activities around the city by date/time/price so I know what is going on.,1,0,Technology
Be able to access public transit with apps,1,0,Technology
An easily website or app that can be used from cel phone.,1,0,Technology
Providing open access speeds up action times.,0,0,Neither
"Equitable internet & digital device access, piloting new technologies & incentivizing smart city tech companies to be in SA, actual reliable workable transit/rail options that will also help reduce CO2 emissions & make the productivity gap smaller, new energy infrastructure",1,0,Technology
"We can use technology to design permaculture smart cities where less concrete -highways - parking lots - box stores can be made into parks, green spaces, and self-sufficient productive gardens for pollinators, edible food, and overall sustain the health and ecosystem of our existence. ",1,0,Technology
Free reliable Wi-Fi throughout the city/public areas,1,0,Technology
Scan codes at bus stops,1,0,Technology
"Open data, better user centered design of services, improved public transportation, surveillance transparency",1,0,Technology
Wifi made more accessible. The city website made easier to navigate. Make the technology mobile phone friendly.,1,0,Technology
Internet as an unencumbered civic utility.,1,0,Technology
Access to information and easy to use the platform to interact with government. Make better decisions by including residents' input.,1,0,Technology
